City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,ocean city,39.2776,-74.5746,8.32,81,24,1.34,US,1699933025
317,al bawiti,28.3492,28.8659,18.32,56,0,2.1,EG,1699933025
318,middelburg,-25.7751,29.4648,13.75,83,80,5.97,ZA,1699933025
319,concepcion de la sierra,-27.9831,-55.5203,20.91,99,100,2.49,AR,1699933026
320,shendi,16.6915,33.4341,28.95,40,37,3.03,SD,1699933026
321,sandpoint,48.2766,-116.5533,5.24,88,100,2.06,US,1699932860
322,hampton bays,40.869,-72.5176,7.73,76,40,0.89,US,1699933027
323,red hill,33.9996,-79.2581,9.92,58,100,1.07,US,1699933027
324,najran,17.4924,44.1277,15.36,48,20,0.81,SA,1699933027
325,san antonio de pale,-1.4014,5.6325,26.13,79,19,3.07,GQ,1699933027
326,chinde,26.8418,88.0763,19.55,48,7,1.67,NP,1699933028
327,tual,-5.6667,132.75,27.88,73,48,3.24,ID,1699932783
328,mar del plata,-38.0023,-57.5575,14.49,57,0,5.36,AR,1699932841
329,pokhvistnevo,53.6524,52.1274,4.66,93,96,4.06,RU,1699933028
330,sinabang,2.4803,96.3801,25.44,86,100,1.79,ID,1699933029
331,kapa'a,22.0752,-159.319,27.99,81,40,7.2,US,1699933029
332,ajdabiya,30.7554,20.2263,18.72,76,74,4.21,LY,1699933029
333,fortuna,40.5982,-124.1573,13.32,95,100,0.45,US,1699933030
334,sao vicente,-23.9631,-46.3919,27.93,26,71,0.45,BR,1699933030
335,kalispell,48.1958,-114.3129,6.54,65,100,4.63,US,1699932885
336,swift current,50.2834,-107.8014,7.45,53,0,8.23,CA,1699933030
337,khadan khak,30.7477,67.7085,11.55,25,9,0.26,PK,1699933031
338,villa gesell,-37.2639,-56.973,12.25,60,83,5.88,AR,1699933031
339,itamaraca,-7.7478,-34.8256,27.03,83,50,2.92,BR,1699933031
340,martinsville,36.6915,-79.8725,10.21,60,0,0.0,US,1699932935
341,benguela,-12.5763,13.4055,25.4,84,100,1.29,AO,1699933032
342,patnanungan,14.7833,122.1833,27.5,82,91,9.7,PH,1699933032
343,lompoc,34.6391,-120.4579,14.08,82,0,3.09,US,1699933032
344,taoudenni,22.6783,-3.9836,23.04,20,4,6.18,ML,1699933033
345,yulinshi,38.2906,109.7494,5.19,24,0,1.61,CN,1699933034
346,topeka,39.0483,-95.678,12.51,48,0,2.06,US,1699933034
347,brookings,44.3114,-96.7984,11.88,42,0,7.72,US,1699933034
348,coracora,-15.0333,-73.7833,12.84,64,18,1.02,PE,1699933034
349,beira,-19.8436,34.8389,23.05,100,75,3.09,MZ,1699933035
350,nagato,34.3833,131.2,14.45,57,14,5.09,JP,1699933035
351,rongelap,11.1635,166.8941,27.93,82,100,7.96,MH,1699933035
352,khovd,48.0056,91.6419,-2.46,74,100,1.26,MN,1699933035
353,piti village,13.4626,144.6933,32.49,74,20,10.29,GU,1699933036
354,almeirim,-1.5233,-52.5817,27.95,57,100,2.22,BR,1699933036
355,bahia honda,22.9036,-83.1592,24.31,81,97,4.1,CU,1699933036
356,sisimiut,66.9395,-53.6735,-9.69,73,100,3.7,GL,1699933037
357,queenstown,-31.8976,26.8753,10.36,80,85,3.32,ZA,1699933037
358,san bernardo del viento,9.3533,-75.9524,27.46,87,100,2.75,CO,1699933037
359,adrar,20.5022,-10.0711,21.66,21,30,4.78,MR,1699933037
360,kardla,58.9978,22.7492,1.14,78,100,2.49,EE,1699933037
